Sequence	Count	Probability(%)
1234	66201	3.717931
2007	39672	2.228029
2006	37313	2.095545
2008	30881	1.734316
2005	23743	1.333437
1994	21032	1.181184
1993	20179	1.133278
1992	20165	1.132492
1995	18790	1.055270
1991	18097	1.016350
1990	16985	0.953899
1989	15623	0.877407
2000	15269	0.857526
1987	14946	0.839386
2004	14460	0.812092
1996	14115	0.792716
1988	13064	0.733691
2009	12953	0.727457
1986	12043	0.676350
2003	11725	0.658491
1985	11410	0.640800
1984	10301	0.578517
2002	9928	0.557569
1997	9595	0.538867
1983	8761	0.492029
1982	8728	0.490175
2001	8653	0.485963
1980	8180	0.459399
2010	7735	0.434407
1981	7543	0.423624
1979	6509	0.365554
1998	6439	0.361622
1978	5935	0.333317
1212	5700	0.320119
1977	5268	0.295857
1999	5268	0.295857
1976	4715	0.264800
1975	4487	0.251996
6969	4212	0.236551
1974	3974	0.223185
1973	3894	0.218692
1010	3756	0.210942
1972	3595	0.201900
1000	3590	0.201619
1313	3518	0.197575
1969	3512	0.197238
1970	3337	0.187410
1111	3307	0.185725
1971	3157	0.177301
2011	3069	0.172359
2012	2981	0.167417
1122	2837	0.159329
1968	2663	0.149557
1221	2631	0.147760
2468	2491	0.139898
1967	2460	0.138157
1213	2448	0.137483
1012	2273	0.127655
1966	2218	0.124566
2525	2202	0.123667
2121	2200	0.123555
1020	2181	0.122488
1123	2175	0.122151
3000	2142	0.120297
2323	2139	0.120129
1314	2129	0.119567
1965	2081	0.116872
1210	2071	0.116310
2020	2067	0.116085
4321	2035	0.114288
1223	2015	0.113165
1230	2002	0.112435
1964	1998	0.112210
1023	1965	0.110357
1011	1908	0.107156
1214	1887	0.105976
0000	1874	0.105246
0123	1841	0.103393
1963	1808	0.101540
1121	1790	0.100529
1224	1789	0.100472
1024	1758	0.098731
1013	1756	0.098619
1022	1743	0.097889
4444	1738	0.097608
1231	1732	0.097271
1001	1729	0.097103
1220	1711	0.096092
1021	1710	0.096036
1215	1686	0.094688
1216	1671	0.093845
7777	1664	0.093452
1218	1660	0.093228
2112	1649	0.092610
1025	1617	0.090813
1014	1604	0.090083
1211	1597	0.089690
1225	1589	0.089240
1205	1573	0.088342
1962	1553	0.087218
1015	1552	0.087162
1206	1545	0.086769
1217	1540	0.086488
1888	1539	0.086432
1029	1537	0.086320
1228	1532	0.086039
1960	1504	0.084467
1107	1503	0.084410
1017	1492	0.083793
1204	1478	0.083006
1120	1468	0.082445
2222	1465	0.082276
1031	1461	0.082052
1112	1457	0.081827
1124	1447	0.081265
1016	1434	0.080535
1028	1433	0.080479
2424	1432	0.080423
1105	1427	0.080142
1125	1421	0.079805
1018	1419	0.079693
1414	1408	0.079075
1026	1408	0.079075
1103	1396	0.078401
1104	1389	0.078008
1203	1388	0.077952
1027	1383	0.077671
1207	1376	0.077278
1202	1371	0.076997
1208	1364	0.076604
5150	1364	0.076604
1127	1361	0.076435
2013	1357	0.076211
1106	1346	0.075593
1515	1334	0.074919
1219	1332	0.074807
1227	1324	0.074358
1030	1321	0.074189
1019	1303	0.073178
1226	1303	0.073178
1005	1299	0.072953
1129	1298	0.072897
1961	1282	0.071999
1229	1280	0.071886
1004	1279	0.071830
1201	1267	0.071156
9999	1256	0.070539
1209	1251	0.070258
1126	1245	0.069921
1128	1243	0.069808
5678	1240	0.069640
1102	1231	0.069135
1959	1230	0.069078
1002	1218	0.068404
8888	1210	0.067955
2345	1209	0.067899
1101	1203	0.067562
5683	1192	0.066944
1108	1190	0.066832
1130	1176	0.066046
1003	1130	0.063462
1958	1128	0.063350
1007	1122	0.063013
1957	1082	0.060766
1222	1069	0.060036
1006	1060	0.059531
1109	1057	0.059362
1717	1040	0.058408
2526	1039	0.058352
0506	1032	0.057958
1956	1016	0.057060
1701	999	0.056105
1907	979	0.054982
5555	977	0.054870
1113	966	0.054252
1616	964	0.054139
0101	960	0.053915
1008	957	0.053746
1905	954	0.053578
1412	949	0.053297
0808	935	0.052511
0607	932	0.052342
1955	922	0.051781
1818	914	0.051331
0909	909	0.051051
1117	902	0.050657
1114	902	0.050657
1009	896	0.050320
0102	896	0.050320
0708	895	0.050264
1110	883	0.049590
1919	878	0.049310
1690	871	0.048916
5000	864	0.048523
1116	863	0.048467
1903	861	0.048355
1432	859	0.048243
0707	849	0.047681
0405	848	0.047625
0406	847	0.047569
0205	844	0.047400
0505	840	0.047175
0214	836	0.046951
2529	832	0.046726
1115	830	0.046614
1908	824	0.046277
0204	822	0.046165
2528	822	0.046165
1324	820	0.046052
1954	820	0.046052
2527	818	0.045940
1200	811	0.045547
0202	810	0.045491
0305	810	0.045491
0711	799	0.044873
0809	792	0.044480
2530	788	0.044255
2212	787	0.044199
3333	783	0.043974
0306	780	0.043806
2310	780	0.043806
1415	771	0.043300
0304	764	0.042907
0311	762	0.042795
0303	761	0.042739
1118	758	0.042570
1516	755	0.042402
0412	748	0.042009
0606	748	0.042009
2210	742	0.041672
1312	739	0.041503
0987	738	0.041447
0203	737	0.041391
1310	736	0.041335
0408	733	0.041166
0407	730	0.040998
0210	730	0.040998
0812	730	0.040998
0507	728	0.040885
0404	727	0.040829
0420	724	0.040661
2014	721	0.040492
2105	718	0.040324
0911	718	0.040324
1369	715	0.040155
0308	711	0.039931
2211	708	0.039762
0107	704	0.039538
6666	701	0.039369
2911	700	0.039313
1307	699	0.039257
2580	695	0.039032
2123	692	0.038864
1953	692	0.038864
1402	691	0.038807
0103	691	0.038807
1119	690	0.038751
1500	685	0.038470
2524	684	0.038414
0307	683	0.038358
0212	682	0.038302
1912	681	0.038246
0206	679	0.038133
1950	679	0.038133
1904	677	0.038021
1331	676	0.037965
0110	676	0.037965
1305	674	0.037853
1920	674	0.037853
5566	674	0.037853
0207	673	0.037797
0104	672	0.037740
0105	666	0.037403
2312	659	0.037010
2727	658	0.036954
1408	656	0.036842
0912	653	0.036673
2106	650	0.036505
1235	645	0.036224
2311	645	0.036224
1800	644	0.036168
2523	644	0.036168
2107	641	0.035999
0411	640	0.035943
0508	640	0.035943
0106	639	0.035887
0512	638	0.035831
2205	634	0.035606
1512	634	0.035606
3030	633	0.035550
1306	633	0.035550
1323	632	0.035494
2626	632	0.035494
1311	631	0.035438
1245	629	0.035325
0612	629	0.035325
0312	628	0.035269
0208	628	0.035269
1405	627	0.035213
1416	626	0.035157
1952	626	0.035157
9876	625	0.035101
2412	623	0.034988
1410	623	0.034988
1906	623	0.034988
1821	621	0.034876
6789	621	0.034876
1100	620	0.034820
0608	620	0.034820
1411	618	0.034708
1357	616	0.034595
2531	615	0.034539
1233	615	0.034539
1911	613	0.034427
2103	612	0.034371
4567	611	0.034315
1303	608	0.034146
2104	607	0.034090
0509	606	0.034034
2828	606	0.034034
2510	602	0.033809
1407	598	0.033584
1321	598	0.033584
1812	598	0.033584
1308	597	0.033528
2522	597	0.033528
2305	593	0.033304
1606	593	0.033304
2202	589	0.033079
0211	587	0.032967
0712	587	0.032967
2324	587	0.032967
1718	587	0.032967
2410	586	0.032910
0108	586	0.032910
2206	585	0.032854
0811	582	0.032686
1508	581	0.032630
2207	580	0.032574
0906	579	0.032517
1505	578	0.032461
1404	577	0.032405
2233	574	0.032237
2110	574	0.032237
2532	574	0.032237
1406	574	0.032237
2108	573	0.032180
0610	572	0.032124
0709	571	0.032068
4545	570	0.032012
0907	570	0.032012
2303	570	0.032012
1510	570	0.032012
2512	570	0.032012
0511	569	0.031956
2304	568	0.031900
2411	568	0.031900
1304	567	0.031843
1506	567	0.031843
0209	565	0.031731
0321	564	0.031675
0410	564	0.031675
2307	564	0.031675
0910	563	0.031619
0805	562	0.031563
0810	562	0.031563
2511	561	0.031506
2536	559	0.031394
2306	557	0.031282
1805	557	0.031282
0309	556	0.031226
1605	555	0.031169
1611	551	0.030945
2204	549	0.030833
2122	549	0.030833
0806	549	0.030833
1705	547	0.030720
2505	546	0.030664
0803	545	0.030608
1232	545	0.030608
1951	545	0.030608
0921	545	0.030608
2021	544	0.030552
0710	543	0.030496
0905	543	0.030496
1507	543	0.030496
2203	542	0.030439
1437	540	0.030327
0109	539	0.030271
